DATE,Measure,Value
19250701,TOBS,76
19250702,TMIN,59
19250702,TMAX,99
19250702,TOBS,73
19250703,TMIN,58
19250703,TMAX,93
19250703,TOBS,76
19250704,TMIN,66
19250704,TMAX,87
19250704,TOBS,81
19250705,TMIN,70
19250705,TMAX,90
19250705,TOBS,83
19250706,TMIN,70
19250706,TMAX,91
19250706,TOBS,81
19250707,TMIN,75
19250707,TMAX,88
19250707,TOBS,83
19250708,TMIN,69
19250708,TMAX,92
19250708,TOBS,84
19250709,TMIN,68
19250709,TMAX,93
19250709,TOBS,76
19250710,TMIN,73
19250710,TMAX,86
19250710,TOBS,86
19250711,TMIN,71
19250711,TMAX,93
19250711,TOBS,82
19250712,TMIN,70
19250712,TMAX,93
19250712,TOBS,81
19250713,TMIN,68
19250713,TMAX,86
19250713,TOBS,81
19250714,TMIN,56
19250714,TMAX,84
19250714,TOBS,75
19250715,TMIN,59
19250715,TMAX,91
19250715,TOBS,79
19250716,TMIN,67
19250716,TMAX,86
19250716,TOBS,76
19250717,TMIN,58
19250717,TMAX,76
19250717,TOBS,74
19250718,TMIN,51
19250718,TMAX,80
19250718,TOBS,79
19250719,TMIN,55
19250719,TMAX,84
19250719,TOBS,78
19250720,TMIN,63
19250720,TMAX,84
19250720,TOBS,68
19250721,TMIN,67
19250721,TMAX,83
19250721,TOBS,84
19250722,TMIN,60
19250722,TMAX,84
19250722,TOBS,77
19250723,TMIN,53
19250723,TMAX,79
19250723,TOBS,75
19250724,TMIN,54
19250724,TMAX,84
19250724,TOBS,82
19250725,TMIN,60
19250725,TMAX,89
19250725,TOBS,71
19250726,TMIN,63
19250726,TMAX,75
19250726,TOBS,70
19250727,TMIN,57
19250727,TMAX,83
19250727,TOBS,77
19250728,TMIN,60
19250728,TMAX,77
19250728,TOBS,71
19250729,TMIN,52
19250729,TMAX,77
19250729,TOBS,71
19250730,TMIN,59
19250730,TMAX,72
19250730,TOBS,64
19250731,TMIN,59
19250731,TMAX,73
19250731,TOBS,67
19250801,TMIN,56
19250801,TMAX,77
19250801,TOBS,72
19250802,TMIN,58
19250802,TMAX,80
19250802,TOBS,71
19250803,TMIN,60
19250803,TMAX,82
19250803,TOBS,75
19250804,TMIN,56
19250804,TMAX,86
19250804,TOBS,74
19250805,TMIN,59
19250805,TMAX,83
19250805,TOBS,76
19250806,TMIN,58
19250806,TMAX,86
19250806,TOBS,78
19250807,TMIN,60
19250807,TMAX,87
19250807,TOBS,81
19250808,TMIN,66
19250808,TMAX,85
19250808,TOBS,76
19250809,TMIN,60
19250809,TMAX,88
19250809,TOBS,84
19250810,TMIN,65
19250810,TMAX,91
19250810,TOBS,82
19250811,TMIN,68
19250811,TMAX,82
19250811,TOBS,79
19250812,TMIN,70
19250812,TMAX,89
19250812,TOBS,78
19250813,TMIN,66
19250813,TMAX,85
19250813,TOBS,75
19250814,TMIN,62
19250814,TMAX,83
19250814,TOBS,73
19250815,TMIN,58
19250815,TMAX,86
19250815,TOBS,74
19250816,TMIN,68
19250816,TMAX,89
19250816,TOBS,76
19250817,TMIN,61
19250817,TMAX,92
19250817,TOBS,81
19250818,TMIN,69
19250818,TMAX,89
19250818,TOBS,82
19250819,TMIN,68
19250819,TMAX,92
19250819,TOBS,84
19250820,TMIN,68
19250820,TMAX,89
19250820,TOBS,84
19250821,TMIN,61
19250821,TMAX,81
19250821,TOBS,70
19250822,TMIN,50
19250822,TMAX,80
19250822,TOBS,66
19250823,TMIN,48
19250823,TMAX,85
19250823,TOBS,69
19250824,TMIN,50
19250824,TMAX,86
19250824,TOBS,79
19250825,TMIN,49
19250825,TMAX,87
19250825,TOBS,71
19250826,TMIN,51
19250826,TMAX,91
19250826,TOBS,87
19250827,TMIN,62
19250827,TMAX,86
19250827,TOBS,71
19250828,TMIN,53
19250828,TMAX,86
19250828,TOBS,81
19250829,TMIN,54
19250829,TMAX,93
19250829,TOBS,85
19250830,TMIN,60
19250830,TMAX,91
19250830,TOBS,86
19250831,TMIN,64
19250831,TMAX,89
19250831,TOBS,80
19250901,TMIN,65
19250901,TMAX,89
19250901,TOBS,73
19250902,TMIN,56
19250902,TMAX,91
19250902,TOBS,86
19250903,TMIN,62
19250903,TMAX,96
19250903,TOBS,92
19250904,TMIN,62
19250904,TMAX,95
19250904,TOBS,80
19250905,TMIN,54
19250905,TMAX,96
19250905,TOBS,81
19250906,TMIN,68
19250906,TMAX,97
19250906,TOBS,83
19250907,TMIN,69
19250907,TMAX,89
19250907,TOBS,82
19250908,TMIN,64
19250908,TMAX,89
19250908,TOBS,74
19250909,TMIN,66
19250909,TMAX,95
19250909,TOBS,87
19250910,TMIN,66
19250910,TMAX,88
19250910,TOBS,84
19250911,TMIN,65
19250911,TMAX,94
19250911,TOBS,84
19250912,TMIN,69
19250912,TMAX,84
19250912,TOBS,75
19250913,TMIN,67
19250913,TMAX,80
19250913,TOBS,73
19250914,TMIN,65
19250914,TMAX,77
19250914,TOBS,69
19250915,TMIN,66
19250915,TMAX,73
19250915,TOBS,67
19250916,TMIN,58
19250916,TMAX,80
19250916,TOBS,74
19250917,TMIN,55
19250917,TMAX,86
19250917,TOBS,81
19250918,TMIN,61
19250918,TMAX,92
19250918,TOBS,89
19250919,TMIN,69
19250919,TMAX,94
19250919,TOBS,89
19250920,TMIN,68
19250920,TMAX,89
19250920,TOBS,79
19250921,TMIN,61
19250921,TMAX,79
19250921,TOBS,72
19250922,TMIN,56
19250922,TMAX,72
19250922,TOBS,60
19250923,TMIN,47
19250923,TMAX,74
19250923,TOBS,63
19250924,TMIN,53
19250924,TMAX,76
19250924,TOBS,62
19250925,TMIN,49
19250925,TMAX,73
19250925,TOBS,64
19250926,TMIN,35
19250926,TMAX,88
19250926,TOBS,74
19250927,TMIN,66
19250927,TMAX,78
19250927,TOBS,70
19250928,TMIN,62
19250928,TMAX,81
19250928,TOBS,73
19250929,TMIN,54
19250929,TMAX,77
19250929,TOBS,65
19250930,TMIN,49
19250930,TMAX,89
19250930,TOBS,71
19251001,TMIN,59
19251001,TMAX,74
19251001,TOBS,73
19251002,TMIN,64
19251002,TMAX,74
19251002,TOBS,70
19251003,TMIN,60
19251003,TMAX,70
19251003,TOBS,70
19251004,TMIN,62
19251004,TMAX,73
19251004,TOBS,73
19251005,TMIN,46
19251005,TMAX,73
19251005,TOBS,63
19251006,TMIN,51
19251006,TMAX,63
19251006,TOBS,56
19251007,TMIN,43
19251007,TMAX,63
19251007,TOBS,54
19251008,TMIN,43
19251008,TMAX,63
19251008,TOBS,63
19251009,TMIN,41
19251009,TMAX,63
19251009,TOBS,43
19251010,TMIN,39
19251010,TMAX,51
19251010,TOBS,45
19251011,TMIN,28
19251011,TMAX,51
19251011,TOBS,47
19251012,TMIN,46
19251012,TMAX,55
19251012,TOBS,55
19251013,TMIN,47
19251013,TMAX,60
19251013,TOBS,57
19251014,TMIN,46
19251014,TMAX,61
19251014,TOBS,61
19251015,TMIN,50
19251015,TMAX,65
19251015,TOBS,59
19251016,TMIN,45
19251016,TMAX,59
19251016,TOBS,54
19251017,TMIN,47
19251017,TMAX,65
19251017,TOBS,53
19251018,TMIN,39
19251018,TMAX,55
19251018,TOBS,53
19251019,TMIN,33
19251019,TMAX,42
19251019,TOBS,43
19251020,TMIN,33
19251020,TMAX,48
19251020,TOBS,45
19251021,TMIN,30
19251021,TMAX,49
19251021,TOBS,46
19251022,TMIN,32
19251022,TMAX,46
19251022,TOBS,44
19251023,TMIN,34
19251023,TMAX,56
19251023,TOBS,51
19251024,TMIN,43
19251024,TMAX,51
19251024,TOBS,49
19251025,TMIN,40
19251025,TMAX,49
19251025,TOBS,42
19251026,TMIN,32
19251026,TMAX,51
19251026,TOBS,42
19251027,TMIN,33
19251027,TMAX,49
19251027,TOBS,39
19251028,TMIN,26
19251028,TMAX,40
19251028,TOBS,29
19251029,TMIN,15
19251029,TMAX,34
19251029,TOBS,31
19251030,TMIN,26
19251030,TMAX,38
19251030,TOBS,34
19251031,TMIN,19
19251031,TMAX,43
19251031,TOBS,37
19251101,TMIN,21
19251101,TMAX,49
19251101,TOBS,37
19251102,TMIN,33
19251102,TMAX,59
19251102,TOBS,48
19251103,TMIN,26
19251103,TMAX,60
19251103,TOBS,51
19251104,TMIN,28
19251104,TMAX,58
19251104,TOBS,55
19251105,TMIN,47
19251105,TMAX,55
19251105,TOBS,50
19251106,TMIN,31
19251106,TMAX,58
19251106,TOBS,50
19251107,TMIN,41
19251107,TMAX,63
19251107,TOBS,63
19251108,TMIN,30
19251108,TMAX,66
19251108,TOBS,34
19251109,TMIN,17
19251109,TMAX,44
19251109,TOBS,37
19251110,TMIN,22
19251110,TMAX,57
19251110,TOBS,48
19251111,TMIN,28
19251111,TMAX,61
19251111,TOBS,55
19251112,TMIN,41
19251112,TMAX,56
19251112,TOBS,56
19251113,TMIN,47
19251113,TMAX,57
19251113,TOBS,53
19251114,TMIN,38
19251114,TMAX,61
19251114,TOBS,52
19251115,TMIN,36
19251115,TMAX,52
19251115,TOBS,39
19251116,TMIN,30
19251116,TMAX,39
19251116,TOBS,34
19251117,TMIN,31
19251117,TMAX,46
19251117,TOBS,41
19251118,TMIN,23
19251118,TMAX,57
19251118,TOBS,52
19251119,TMIN,45
19251119,TMAX,53
19251119,TOBS,53
19251120,TMIN,35
19251120,TMAX,53
19251120,TOBS,45
19251121,TMIN,26
19251121,TMAX,60
19251121,TOBS,53
19251122,TMIN,32
19251122,TMAX,52
19251122,TOBS,33
19251123,TMIN,19
19251123,TMAX,33
19251123,TOBS,29
19251124,TMIN,16
19251124,TMAX,38
19251124,TOBS,38
19251125,TMIN,27
19251125,TMAX,56
19251125,TOBS,50
19251126,TMIN,31
19251126,TMAX,50
19251126,TOBS,42
19251127,TMIN,34
19251127,TMAX,42
19251127,TOBS,36
19251128,TMIN,20
19251128,TMAX,36
19251128,TOBS,27
19251129,TMIN,20
19251129,TMAX,34
19251129,TOBS,32
19251130,TMIN,29
19251130,TMAX,50
19251130,TOBS,43
19251201,TMIN,33
19251201,TMAX,48
19251201,TOBS,38
19251202,TMIN,24
19251202,TMAX,42
19251202,TOBS,36
19251203,TMIN,28
19251203,TMAX,51
19251203,TOBS,46
19251204,TMIN,32
19251204,TMAX,68
19251204,TOBS,59
19251205,TMIN,31
19251205,TMAX,59
19251205,TOBS,32
19251206,TMIN,24
19251206,TMAX,37
19251206,TOBS,35
19251207,TMIN,29
19251207,TMAX,47
19251207,TOBS,42
19251208,TMIN,31
19251208,TMAX,42
19251208,TOBS,39
19251209,TMIN,35
19251209,TMAX,40
19251209,TOBS,40
19251210,TMIN,24
19251210,TMAX,44
19251210,TOBS,38
19251211,TMIN,24
19251211,TMAX,59
19251211,TOBS,56
19251212,TMIN,35
19251212,TMAX,55
19251212,TOBS,51
19251213,TMIN,27
19251213,TMAX,51
19251213,TOBS,36
19251214,TMIN,28
19251214,TMAX,40
19251214,TOBS,33
19251215,TMIN,26
19251215,TMAX,35
19251215,TOBS,35
19251216,TMIN,29
19251216,TMAX,35
19251216,TOBS,30
19251217,TMIN,20
19251217,TMAX,35
19251217,TOBS,30
19251218,TMIN,14
19251218,TMAX,32
19251218,TOBS,28
19251219,TMIN,18
19251219,TMAX,42
19251219,TOBS,38
19251220,TMIN,30
19251220,TMAX,42
19251220,TOBS,40
19251221,TMIN,35
19251221,TMAX,46
19251221,TOBS,38
19251222,TMIN,22
19251222,TMAX,38
19251222,TOBS,24
19251223,TMIN,8
19251223,TMAX,24
19251223,TOBS,24
19251224,TMIN,22
19251224,TMAX,39
19251224,TOBS,34
19251225,TMIN,21
19251225,TMAX,38
19251225,TOBS,21
19251226,TMIN,6
19251226,TMAX,21
19251226,TOBS,11
19251227,TMIN,-5
19251227,TMAX,16
19251227,TOBS,7
19251228,TMIN,-2
19251228,TMAX,15
19251228,TOBS,14
19251229,TMIN,-2
19251229,TMAX,24
19251229,TOBS,20
19251230,TMIN,5
19251230,TMAX,30
19251230,TOBS,26
19251231,TMIN,4
19251231,TMAX,38
19251231,TOBS,32
19260101,TMIN,14
19260101,TMAX,39
19260101,TOBS,39
19260102,TMIN,15
19260102,TMAX,49
19260102,TOBS,32
19260103,TMIN,20
19260103,TMAX,42
19260103,TOBS,40
19260104,TMIN,38
19260104,TMAX,47
19260104,TOBS,45
19260105,TMIN,41
19260105,TMAX,51
19260105,TOBS,42
19260106,TMIN,32
19260106,TMAX,42
19260106,TOBS,34
19260107,TMIN,25
19260107,TMAX,35
19260107,TOBS,30
19260108,TMIN,21
19260108,TMAX,30
19260108,TOBS,36
19260109,TMIN,21
19260109,TMAX,27
19260109,TOBS,26
19260110,TMIN,2
19260110,TMAX,31
19260110,TOBS,31
19260111,TMIN,14
19260111,TMAX,36
19260111,TOBS,33
19260112,TMIN,8
19260112,TMAX,33
19260112,TOBS,14
19260113,TMIN,3
19260113,TMAX,25
19260113,TOBS,22
19260114,TMIN,-4
19260114,TMAX,39
19260114,TOBS,35
19260115,TMIN,30
19260115,TMAX,37
19260115,TOBS,32
19260116,TMIN,7
19260116,TMAX,50
19260116,TOBS,39
19260117,TMIN,23
19260117,TMAX,39
19260117,TOBS,37
19260118,TMIN,36
19260118,TMAX,48
19260118,TOBS,40
19260119,TMIN,36
19260119,TMAX,53
19260119,TOBS,44
19260120,TMIN,37
19260120,TMAX,47
19260120,TOBS,42
19260121,TMIN,26
19260121,TMAX,42
19260121,TOBS,27
19260122,TMIN,6
19260122,TMAX,27
19260122,TOBS,12
19260123,TMIN,-8
19260123,TMAX,19
19260123,TOBS,14
19260124,TMIN,13
19260124,TMAX,34
19260124,TOBS,26
19260125,TMIN,14
19260125,TMAX,37
19260125,TOBS,30
19260126,TMIN,9
19260126,TMAX,34
19260126,TOBS,33
19260127,TMIN,21
19260127,TMAX,33
19260127,TOBS,33
19260128,TMIN,2
19260128,TMAX,36
19260128,TOBS,5
19260129,TMIN,-10
19260129,TMAX,38
19260129,TOBS,34
19260130,TMIN,31
19260130,TMAX,54
19260130,TOBS,42
19260131,TMIN,26
19260131,TMAX,42
19260131,TOBS,40
19260201,TMIN,34
19260201,TMAX,40
19260201,TOBS,37
19260202,TMIN,33
19260202,TMAX,40
19260202,TOBS,37
19260203,TMIN,34
19260203,TMAX,40
19260203,TOBS,40
19260204,TMIN,31
19260204,TMAX,49
19260204,TOBS,32
19260205,TMIN,28
19260205,TMAX,33
19260205,TOBS,33
19260206,TMIN,27
19260206,TMAX,52
19260206,TOBS,50
19260207,TMIN,33
19260207,TMAX,50
19260207,TOBS,41
19260208,TMIN,30
19260208,TMAX,42
19260208,TOBS,39
19260209,TMIN,32
19260209,TMAX,39
19260209,TOBS,33
19260210,TMIN,21
19260210,TMAX,33
19260210,TOBS,25
19260211,TMIN,4
19260211,TMAX,27
19260211,TOBS,27
19260212,TMIN,9
19260212,TMAX,33
19260212,TOBS,33
19260213,TMIN,33
19260213,TMAX,50
19260213,TOBS,50
19260214,TMIN,36
19260214,TMAX,50
19260214,TOBS,39
19260215,TMIN,31
19260215,TMAX,39
19260215,TOBS,33
19260216,TMIN,20
19260216,TMAX,42
19260216,TOBS,36
19260217,TMIN,25
19260217,TMAX,58
19260217,TOBS,55
19260218,TMIN,40
19260218,TMAX,53
19260218,TOBS,46
19260219,TMIN,23
19260219,TMAX,46
19260219,TOBS,32
19260220,TMIN,25
19260220,TMAX,53
19260220,TOBS,53
19260221,TMIN,29
19260221,TMAX,61
19260221,TOBS,57
19260222,TMIN,33
19260222,TMAX,57
19260222,TOBS,34
19260223,TMIN,25
19260223,TMAX,38
19260223,TOBS,38
19260224,TMIN,22
19260224,TMAX,44
19260224,TOBS,43
19260225,TMIN,42
19260225,TMAX,53
19260225,TOBS,44
19260226,TMIN,32
19260226,TMAX,44
19260226,TOBS,34
19260227,TMIN,21
19260227,TMAX,34
19260227,TOBS,26
19260228,TMIN,16
19260228,TMAX,51
19260228,TOBS,48
19260301,TMIN,37
19260301,TMAX,49
19260301,TOBS,38
19260302,TMIN,15
19260302,TMAX,38
19260302,TOBS,20
19260303,TMIN,12
19260303,TMAX,31
19260303,TOBS,29
19260304,TMIN,13
19260304,TMAX,29
19260304,TOBS,27
19260305,TMIN,12
19260305,TMAX,35
19260305,TOBS,30
19260306,TMIN,18
19260306,TMAX,44
19260306,TOBS,37
19260307,TMIN,26
19260307,TMAX,42
19260307,TOBS,29
19260308,TMIN,12
19260308,TMAX,29
19260308,TOBS,22
19260309,TMIN,14
19260309,TMAX,42
19260309,TOBS,42
19260310,TMIN,23
19260310,TMAX,51
19260310,TOBS,44
19260311,TMIN,31
19260311,TMAX,44
19260311,TOBS,36
19260312,TMIN,23
19260312,TMAX,36
19260312,TOBS,24
19260313,TMIN,8
19260313,TMAX,25
19260313,TOBS,24
19260314,TMIN,8
19260314,TMAX,32
19260314,TOBS,31
19260315,TMIN,19
19260315,TMAX,34
19260315,TOBS,34
19260316,TMIN,19
19260316,TMAX,36
19260316,TOBS,34
19260317,TMIN,9
19260317,TMAX,49
19260317,TOBS,49
19260318,TMIN,30
19260318,TMAX,67
19260318,TOBS,67
19260319,TMIN,30
19260319,TMAX,76
19260319,TOBS,63
19260320,TMIN,39
19260320,TMAX,63
19260320,TOBS,44
19260321,TMIN,34
19260321,TMAX,50
19260321,TOBS,47
19260322,TMIN,33
19260322,TMAX,53
19260322,TOBS,53
19260323,TMIN,39
19260323,TMAX,60
19260323,TOBS,59
19260324,TMIN,31
19260324,TMAX,75
19260324,TOBS,70
19260325,TMIN,39
19260325,TMAX,71
19260325,TOBS,42
19260326,TMIN,34
19260326,TMAX,45
19260326,TOBS,36
19260327,TMIN,26
19260327,TMAX,36
19260327,TOBS,31
19260328,TMIN,19
19260328,TMAX,44
19260328,TOBS,41
19260329,TMIN,32
19260329,TMAX,53
19260329,TOBS,49
19260330,TMIN,30
19260330,TMAX,49
19260330,TOBS,49
19260331,TMIN,28
19260331,TMAX,52
19260331,TOBS,30
19260401,TMIN,27
19260401,TMAX,41
19260401,TOBS,39
19260402,TMIN,28
19260402,TMAX,54
19260402,TOBS,54
19260403,TMIN,33
19260403,TMAX,54
19260403,TOBS,38
19260404,TMIN,21
19260404,TMAX,54
19260404,TOBS,46
19260405,TMIN,35
19260405,TMAX,57
19260405,TOBS,45
19260406,TMIN,33
19260406,TMAX,45
19260406,TOBS,43
19260407,TMIN,41
19260407,TMAX,72
19260407,TOBS,61
19260408,TMIN,36
19260408,TMAX,60
19260408,TOBS,44
19260409,TMIN,28
19260409,TMAX,50
19260409,TOBS,50
19260410,TMIN,25
19260410,TMAX,59
19260410,TOBS,59
19260411,TMIN,44
19260411,TMAX,59
19260411,TOBS,47
19260412,TMIN,30
19260412,TMAX,47
19260412,TOBS,47
19260413,TMIN,28
19260413,TMAX,61
19260413,TOBS,61
19260414,TMIN,36
19260414,TMAX,70
19260414,TOBS,46
19260415,TMIN,27
19260415,TMAX,51
19260415,TOBS,49
19260416,TMIN,27
19260416,TMAX,64
19260416,TOBS,62
19260417,TMIN,33
19260417,TMAX,62
19260417,TOBS,NA
19260418,TMIN,33
19260418,TMAX,52
19260418,TOBS,49
19260419,TMIN,28
19260419,TMAX,49
19260419,TOBS,44
19260420,TMIN,22
19260420,TMAX,60
19260420,TOBS,54
19260421,TMIN,34
19260421,TMAX,76
19260421,TOBS,71
19260422,TMIN,46
19260422,TMAX,71
19260422,TOBS,56
19260423,TMIN,52
19260423,TMAX,68
19260423,TOBS,62
19260424,TMIN,52
19260424,TMAX,66
19260424,TOBS,55
19260425,TMIN,36
19260425,TMAX,55
19260425,TOBS,42
19260426,TMIN,30
19260426,TMAX,51
19260426,TOBS,50
19260427,TMIN,26
19260427,TMAX,61
19260427,TOBS,54
19260428,TMIN,40
19260428,TMAX,56
19260428,TOBS,44
19260429,TMIN,30
19260429,TMAX,63
19260429,TOBS,62
19260430,TMIN,50
19260430,TMAX,81
19260430,TOBS,76
19260501,TMIN,52
19260501,TMAX,86
19260501,TOBS,75
19260502,TMIN,46
19260502,TMAX,84
19260502,TOBS,80
19260503,TMIN,45
19260503,TMAX,79
19260503,TOBS,46
19260504,TMIN,29
19260504,TMAX,63
19260504,TOBS,60
19260505,TMIN,34
19260505,TMAX,79
19260505,TOBS,72
19260506,TMIN,41
19260506,TMAX,87
19260506,TOBS,79
19260507,TMIN,45
19260507,TMAX,89
19260507,TOBS,83
19260508,TMIN,50
19260508,TMAX,88
19260508,TOBS,83
19260509,TMIN,58
19260509,TMAX,87
19260509,TOBS,68
19260510,TMIN,49
19260510,TMAX,70
19260510,TOBS,59
19260511,TMIN,40
19260511,TMAX,66
19260511,TOBS,64
19260512,TMIN,43
19260512,TMAX,70
19260512,TOBS,69
19260513,TMIN,44
19260513,TMAX,72
19260513,TOBS,60
19260514,TMIN,46
19260514,TMAX,70
19260514,TOBS,59
19260515,TMIN,48
19260515,TMAX,64
19260515,TOBS,63
19260516,TMIN,41
19260516,TMAX,81
19260516,TOBS,79
19260517,TMIN,57
19260517,TMAX,83
19260517,TOBS,78
19260518,TMIN,56
19260518,TMAX,79
19260518,TOBS,71
19260519,TMIN,54
19260519,TMAX,74
19260519,TOBS,63
19260520,TMIN,39
19260520,TMAX,73
19260520,TOBS,60
19260521,TMIN,42
19260521,TMAX,80
19260521,TOBS,70
19260522,TMIN,47
19260522,TMAX,70
19260522,TOBS,49
19260523,TMIN,34
19260523,TMAX,70
19260523,TOBS,65
19260524,TMIN,44
19260524,TMAX,86
19260524,TOBS,65
19260525,TMIN,59
19260525,TMAX,88
19260525,TOBS,88
19260526,TMIN,58
19260526,TMAX,89
19260526,TOBS,78
19260527,TMIN,52
19260527,TMAX,78
19260527,TOBS,67
19260528,TMIN,47
19260528,TMAX,79
19260528,TOBS,79
19260529,TMIN,50
19260529,TMAX,86
19260529,TOBS,79
19260530,TMIN,55
19260530,TMAX,86
19260530,TOBS,83
19260531,TMIN,63
19260531,TMAX,83
19260531,TOBS,66
19260601,TMIN,64
19260601,TMAX,76
19260601,TOBS,74
19260602,TMIN,60
19260602,TMAX,82
19260602,TOBS,80
19260603,TMIN,47
19260603,TMAX,88
19260603,TOBS,58
19260604,TMIN,52
19260604,TMAX,67
19260604,TOBS,63
19260605,TMIN,47
19260605,TMAX,73
19260605,TOBS,59
19260606,TMIN,44
19260606,TMAX,76
19260606,TOBS,63
19260607,TMIN,49
19260607,TMAX,76
19260607,TOBS,73
19260608,TMIN,47
19260608,TMAX,80
19260608,TOBS,77
19260609,TMIN,47
19260609,TMAX,82
19260609,TOBS,73
19260610,TMIN,49
19260610,TMAX,82
19260610,TOBS,78
19260611,TMIN,54
19260611,TMAX,84
19260611,TOBS,73
19260612,TMIN,64
19260612,TMAX,83
19260612,TOBS,81
19260613,TMIN,63
19260613,TMAX,89
19260613,TOBS,75
19260614,TMIN,66
19260614,TMAX,84
19260614,TOBS,75
19260615,TMIN,54
19260615,TMAX,76
19260615,TOBS,61
19260616,TMIN,57
19260616,TMAX,73
19260616,TOBS,64
19260617,TMIN,59
19260617,TMAX,89
19260617,TOBS,83
19260618,TMIN,59
19260618,TMAX,83
19260618,TOBS,71
19260619,TMIN,60
19260619,TMAX,76
19260619,TOBS,71
19260620,TMIN,51
19260620,TMAX,81
19260620,TOBS,76
19260621,TMIN,57
19260621,TMAX,86
19260621,TOBS,69
19260622,TMIN,52
19260622,TMAX,79
19260622,TOBS,69
19260623,TMIN,55
19260623,TMAX,79
19260623,TOBS,70
19260624,TMIN,52
19260624,TMAX,81
19260624,TOBS,75
19260625,TMIN,58
19260625,TMAX,81
19260625,TOBS,68
19260626,TMIN,58
19260626,TMAX,74
19260626,TOBS,67
19260627,TMIN,43
19260627,TMAX,79
19260627,TOBS,76
